iter	Passed	Remaining
939	2206	140
940	2208	138
941	2213	136
942	2215	133
943	2218	131
944	2220	129
945	2223	126
946	2226	124
947	2229	122
948	2232	119
949	2234	117
950	2236	115
951	2239	112
952	2243	110
953	2245	108
954	2248	105
955	2251	103
956	2253	101
957	2257	98
958	2260	96
959	2263	94
960	2266	91
961	2269	89
962	2272	87
963	2275	84
964	2278	82
965	2281	80
966	2284	77
967	2288	75
968	2291	73
969	2293	70
970	2297	68
971	2302	66
972	2305	63
973	2308	61
974	2311	59
975	2315	56
976	2318	54
977	2320	52
978	2323	49
979	2326	47
980	2328	45
981	2332	42
982	2335	40
983	2338	38
984	2340	35
985	2342	33
986	2346	30
987	2349	28
988	2352	26
989	2355	23
990	2357	21
991	2361	19
992	2363	16
993	2366	14
994	2369	11
995	2371	9
996	2375	7
997	2378	4
998	2380	2
999	2383	0
